Comment,Designator,Footprint,LCSC
AO3401A,"Q13,Q14,Q15,Q16,Q5,Q6,Q7,Q8",SOT-23,C15127
0.1u,"C4,C5,C6,C7",C_0402_1005Metric,C1525
10u,"C1,C2,C3",C_0805_2012Metric,C15850
Conn_02x04_Top_Bottom,"J1,J2,J3",PinHeader_2x04_P2.54mm_Vertical_SMD,C192300
AO3400A,"Q1,Q10,Q11,Q12,Q2,Q3,Q4,Q9",SOT-23,C20917
AH1902-Z-7,"IC1,IC2,IC3,IC4",AH1902Z7,C239188
10K,"R1,R2,R3,R4,R5,R6,R7,R8",R_0603_1608Metric,C25804
74HC165,U3,SO-16,C5613
74HC595,"U1,U2",SO16,C5947
